ParticipantName	PresentationSequence	MediaName	RecordingTimestamp	StudioEventIndex	GazePointX (ADCSpx)	GazePointY (ADCSpx)	ValidityLeft	ValidityRight	
P72	7	Flip_B2_G1.wmv	4230		632	533	0	0	
P72	7	Flip_B2_G1.wmv	4247		630	525	0	0	
P72	7	Flip_B2_G1.wmv	4263		634	530	0	0	
P72	7	Flip_B2_G1.wmv	4280		628	525	0	0	
P72	7	Flip_B2_G1.wmv	4297		636	528	0	0	
P72	7	Flip_B2_G1.wmv	4313		634	525	0	0	
P72	7	Flip_B2_G1.wmv	4330		632	524	0	0	
P72	7	Flip_B2_G1.wmv	4347		633	525	0	0	
P72	7	Flip_B2_G1.wmv	4363		628	523	0	0	
P72	7	Flip_B2_G1.wmv	4380		631	521	0	0	
P72	7	Flip_B2_G1.wmv	4397		634	526	0	0	
P72	7	Flip_B2_G1.wmv	4413		636	529	0	0	
P72	7	Flip_B2_G1.wmv	4430		631	528	0	0	
P72	7	Flip_B2_G1.wmv	4446		607	530	0	0	
P72	7	Flip_B2_G1.wmv	4463		616	530	0	0	
P72	7	Flip_B2_G1.wmv	4480		610	531	0	0	
P72	7	Flip_B2_G1.wmv	4496		616	535	0	0	
P72	7	Flip_B2_G1.wmv	4513		614	532	0	0	
P72	7	Flip_B2_G1.wmv	4530		613	534	0	0	
P72	7	Flip_B2_G1.wmv	4546		611	528	0	0	
P72	7	Flip_B2_G1.wmv	4563		614	531	0	0	
P72	7	Flip_B2_G1.wmv	4580		620	540	0	0	
P72	7	Flip_B2_G1.wmv	4596		614	529	0	0	
P72	7	Flip_B2_G1.wmv	4613		610	525	0	0	
P72	7	Flip_B2_G1.wmv	4630		616	533	0	0	
P72	7	Flip_B2_G1.wmv	4646		616	528	0	0	
P72	7	Flip_B2_G1.wmv	4663		613	530	0	0	
P72	7	Flip_B2_G1.wmv	4680		614	538	0	0	
P72	7	Flip_B2_G1.wmv	4696		614	529	0	0	
P72	7	Flip_B2_G1.wmv	4713		610	530	0	0	
P72	7	Flip_B2_G1.wmv	4730		613	535	0	0	
P72	7	Flip_B2_G1.wmv	4746		685	538	0	0	
